Year,Month,Temperature,Precipitation
2005,1,3.4,5.3
2005,2,3.5,7
2005,3,8.3,74.4
2005,4,11.4,139.4
2005,5,17.2,86.6
2005,6,21.5,60.8
2005,7,23,90.4
2005,8,21,115.3
2005,9,18.5,191.9
2005,10,13.1,72.3
2005,11,7.7,31
2005,12,2.4,77.8
2006,1,2.1,60
2006,2,3.5,92.1
2006,3,7.1,40.3
2006,4,12.4,98.9
2006,5,16.7,91.1
2006,6,21.6,93.4
2006,7,24.4,104.7
2006,8,20,275.2
2006,9,19.2,169.4
2006,10,14.8,67.6
2006,11,9.7,46.7
2006,12,5.4,158.9
2007,1,6.3,60.6
2007,2,7.1,17.9
2007,3,9.9,43.8
2007,4,15.6,8.6
2007,5,17.6,170
2007,6,19.9,224.4
2007,7,22.6,75.5
2007,8,20.6,306.7
2007,9,17.1,123.1
2007,10,13.5,15.5
2007,11,7.9,89.3
2007,12,4.3,7.8
2008,1,4.5,136
2008,2,5.7,36.6
2008,3,9.1,78.9
2008,4,11.4,223.1
2008,5,16,267.3
2008,6,19.9,182
2008,7,21.4,359
2008,8,21.8,110
2008,9,16.6,188.7
2008,10,13.5,201.1
2008,11,7.9,246.1
2008,12,4,159.8
2009,1,2.6,48.7
2009,2,4.9,155.2
2009,3,9,109.9
2009,4,12.6,257.3
2009,5,18.7,67
2009,6,20.6,107.5
2009,7,22.2,396.8
2009,8,23.1,75.8
2009,9,18.8,121.4
2009,10,13.2,61.4
2009,11,8.8,151.1
2009,12,3.5,127.6
2010,1,2.1,34.3
2010,2,4.1,92.3
2010,3,7.4,109.1
2010,4,11.9,65.4
2010,5,15,344.9
2010,6,20.2,122.3
2010,7,24.4,160.8
2010,8,21,191.3
2010,9,17.1,190.7
2010,10,11.8,193.6
2010,11,7.8,211.4
2010,12,2.6,138.1
2011,1,3.2,44
2011,2,5.4,44.6
2011,3,8.6,88.7
2011,4,15.4,23.9
2011,5,18.5,106.8
2011,6,19.6,185.9
2011,7,20.8,261.3
2011,8,23,70.3
2011,9,20.3,82.5
2011,10,13.5,52.5
2011,11,8.3,205.2
2011,12,5.9,13.6
2012,1,4.5,55.4
2012,2,2.6,5.6
2012,3,11.3,70.8
2012,4,10.8,293.7
2012,5,16.2,163.9
2012,6,21.3,185.5
2012,7,23,78.5
2012,8,23.8,82.2
2012,9,18.5,83.9
2012,10,13.7,114.5
2012,11,9.4,234.6
2012,12,3.7,43.1
2013,1,4.8,38.3
2013,2,3.7,36.4
2013,3,6.3,118.4
2013,4,11.6,289.4
2013,5,14.4,301.7
2013,6,20.2,63.6
2013,7,23.7,139.4
2013,8,22.7,74.3
2013,9,18.8,123.2
2013,10,13.8,214.6
2013,11,8.7,115.8
2013,12,5.3,198.2
2014,1,4.8,222.7
2014,2,5.8,277.4
2014,3,10.5,86.1
2014,4,13.5,107.8
2014,5,16.1,135.5
2014,6,20.3,161.4
2014,7,20.4,361.3
2014,8,19.8,259.2
2014,9,18.3,23.8
2014,10,15.1,157.1
2014,11,10,586.7
2014,12,6.9,50.6
2015,1,5.1,130.7
2015,2,4.9,116.8
2015,3,9.4,30
2015,4,13.3,114.1
2015,5,17,213.2
2015,6,21.2,84.8
2015,7,25.8,63.2
2015,8,22.4,110.5
2015,9,17.4,191.6
2015,10,12.8,176.7
2015,11,9.5,0.2
2015,12,6.2,0.6
2016,1,4.1,29.9
2016,2,6.5,146.2
