Month,Forecast,lower_95,upper_95
October 2023,82.38448,31.98,132.02
November 2023,80.21641,28.96,131.04
December 2023,80.59438,29.82,132.18
January 2024,80.97236,29.62,132.38
February 2024,81.35033,29.33,132.67
March 2024,81.7283,30.09,133.91
April 2024,82.10628,29.89,134.11
May 2024,82.48425,29.71,134.29
June 2024,82.86222,30.37,135.63
July 2024,83.24019,30.13,135.87
August 2024,83.61817,30.92,137.08
September 2024,83.99614,30.77,137.23
October 2024,84.37411,30.62,137.38
November 2024,84.75208,31.58,138.42
December 2024,85.13006,31.43,138.57
