Month,Forecast,lower_95,upper_95
October 2023,126531.32,117764.61,135297.39
November 2023,105752.79,96353.19,115152.81
December 2023,111621.26,101626.92,121615.08
January 2024,92656.26,82512.36,102799.64
February 2024,100750.86,90606.36,110893.64
March 2024,112333.88,102190.36,122477.64
April 2024,113621.92,103478.36,123765.64
May 2024,141801.05,131657.36,151944.64
June 2024,153480.1,143336.36,163623.64
July 2024,165868.47,155724.36,176011.64
August 2024,158088.44,147944.36,168231.64
September 2024,151605.64,141462.36,161749.64
October 2024,127874.64,116962.18,138787.82
November 2024,107246.93,96164.58,118329.42
December 2024,112379.47,101296.58,123461.42
