Year,Month,Temperature,Precipitation
2005,1,0.8,48
2005,2,0.1,35.3
2005,3,6.3,39.7
2005,4,10,119.7
2005,5,14.8,76.3
2005,6,19.9,52.2
2005,7,20.3,65.8
2005,8,18,75.9
2005,9,16.3,65.5
2005,10,11.7,66.3
2005,11,4.8,36.7
2005,12,0.4,64.9
2006,1,0.3,23.1
2006,2,1.4,72.1
2006,3,5.1,138.1
2006,4,10.2,116.7
2006,5,14.4,99.3
2006,6,19.4,49.9
2006,7,23.6,48
2006,8,16.7,137
2006,9,17.9,60.9
2006,10,13.5,105.2
2006,11,7.6,59.8
2006,12,3.3,58.5
2007,1,4.2,76.3
2007,2,5.5,103
2007,3,6.6,79.2
2007,4,14.2,23.1
2007,5,15.2,120.9
2007,6,18.4,170.7
2007,7,18.7,132.1
2007,8,18.5,152.8
2007,9,14.5,88.3
2007,10,10.6,17.4
2007,11,4,69
2007,12,2.1,88.3
2008,1,3.6,74.6
2008,2,3.7,29.8
2008,3,5.8,79.2
2008,4,9,144.2
2008,5,15.6,79.9
2008,6,18.2,60.3
2008,7,19.7,113.2
2008,8,19,90.6
2008,9,13.8,214.6
2008,10,10.9,86.8
2008,11,6,43.6
2008,12,1.3,118.1
2009,1,-0.5,68.9
2009,2,1.5,54.4
2009,3,6,49.6
2009,4,12.1,36
2009,5,16.7,28.9
2009,6,18.2,93.6
2009,7,20.5,84
2009,8,21.2,66.5
2009,9,16.6,61.7
2009,10,10.6,38.4
2009,11,7.8,149.7
2009,12,2.3,154.7
2010,1,-0.4,47.1
2010,2,2,96.5
2010,3,5.6,61.4
2010,4,11,21.8
2010,5,13,108
2010,6,17.6,77.2
2010,7,22.1,13.5
2010,8,18.7,122.1
2010,9,14.4,36.2
2010,10,10.1,31
2010,11,6.3,101.8
2010,12,0.3,95.4
2011,1,2.5,44.5
2011,2,3.1,16.3
2011,3,7.2,20.5
2011,4,13.2,20.1
2011,5,16.3,36.1
2011,6,17.8,64.7
2011,7,17.8,102.1
2011,8,20.2,70.5
2011,9,17.2,44.5
2011,10,11,36
2011,11,6.5,18.9
2011,12,4.2,144.8
2012,1,2.9,82.4
2012,2,-2.1,0.4
2012,3,8.6,13.7
2012,4,10.2,112.2
2012,5,15.1,76.4
2012,6,19.1,95
2012,7,19.8,45.8
2012,8,20.7,81.7
2012,9,15.5,77.5
2012,10,11.2,49.8
2012,11,7,180.7
2012,12,3,154.7
2013,1,1.3,51.8
2013,2,0.4,60.7
2013,3,4.2,77.9
2013,4,10.3,106.8
2013,5,11.5,112.6
2013,6,17,55.4
2013,7,21.5,126.3
2013,8,20,36.1
2013,9,15.9,70
2013,10,12.8,139.8
2013,11,5.9,108.4
2013,12,1.5,101.4
2014,1,4.1,92.6
2014,2,4.8,121.2
2014,3,7.8,39.3
2014,4,11.8,60.1
2014,5,13.5,73.4
2014,6,19.1,54.6
2014,7,18.4,175.5
2014,8,18,52.8
2014,9,16.7,40.1
2014,10,13.7,141.7
2014,11,8.2,107.6
2014,12,4.3,45.7
2015,1,2.6,80.6
2015,2,1.7,52.2
2015,3,7.3,52
2015,4,11.2,63.5
2015,5,15.3,96.1
2015,6,19.9,44.9
2015,7,24.2,28.7
2015,8,20.8,63.4
2015,9,14.8,117.8
2015,10,10.1,35.6
2015,11,7.1,37.3
2015,12,3.9,13.4
2016,1,4.2,165.5
2016,2,5,81.7
2016,3,5.7,38.9
2016,4,10,93.5
2016,5,13.3,76.7
2016,6,17.7,132.6
2016,7,20.8,63.3
2016,8,20.4,21.2
2016,9,18,33.2
2016,10,9.9,89.7
2016,11,6.2,89
2016,12,1.4,0.2
2017,1,-1.2,25.4
2017,2,4.8,51.6
2017,3,8.7,56.7
2017,4,10.5,40
2017,5,15,80.9
2017,6,20.9,77.3
2017,7,21.4,40.4
2017,8,21.2,62.1
2017,9,14.1,43.8
2017,10,11.8,18
2017,11,5.7,63.8
2017,12,2.5,133
2018,1,6,173.5
2018,2,1.2,28.9
2018,3,5.3,105.4
2018,4,13.3,19
2018,5,15.5,97.5
2018,6,19.7,93.3
2018,7,22.3,49
2018,8,21.7,62.5
2018,9,17.9,22.3
2018,10,12.3,27.9
2018,11,6.9,72.6
2018,12,4.9,112.4
2019,1,1.8,42.6
2019,2,3.9,40.2
2019,3,8.2,57.4
2019,4,10.3,63.1
2019,5,12.4,40.7
2019,6,19.9,112
2019,7,22.6,44.4
2019,8,20.6,60.4
2019,9,17.2,25
2019,10,13.2,102.2
2019,11,6.3,114.1
2019,12,4.9,140.1
2020,1,3.1,28.9
2020,2,7.1,64
2020,3,7.4,77.6
2020,4,13,37.5
2020,5,15.6,78.1
2020,6,17.9,92.1
2020,7,22.2,16.9
2020,8,21.2,93.4
2020,9,17.3,60.6
2020,10,10.3,153.3
2020,11,6.8,15.8
2020,12,3.9,75.6
2021,1,2.3,96.1
2021,2,5.5,30.7
2021,3,6.7,36.4
2021,4,9.4,23.1
2021,5,12.3,122.2
2021,6,19.9,106.3
2021,7,19.6,132.3
2021,8,18.8,54.1
2021,9,17.2,36.7
2021,10,10.4,80.6
2021,11,5.2,19.4
2021,12,3,129.2
2022,1,2,27.5
2022,2,5.1,48.9
2022,3,7.4,18.4
2022,4,10.3,54
2022,5,17.6,12
2022,6,21.2,63.9
2022,7,23.6,5
2022,8,22.3,48
2022,9,15.9,120.1
2022,10,14.7,76.8
2022,11,8.2,106.5
2022,12,5.1,112.7
2023,1,3.9,70.3
2023,2,3.8,0.5
2023,3,8.2,89.3
2023,4,9.7,51.4
2023,5,15.4,18
2023,6,21,74.2
2023,7,22.6,31.7
2023,8,22.1,69.5
2023,9,19.1,98.2
2023,10,14,200.2
2023,11,7.1,192.2
2023,12,4.9,129.2
2024,1,3.7,103.3
2024,2,6.8,45.5
2024,3,8.8,44.7
