Year,Month,Temperature,Precipitation
2005,1,-0.3,34
2005,2,-1.2,18.5
2005,3,5.3,28.2
2005,4,8.9,123.8
2005,5,13.6,68.6
2005,6,18.5,25.4
2005,7,19.1,56.5
2005,8,16.8,83.5
2005,9,15.4,81.6
2005,10,10.6,77.4
2005,11,3.8,25.6
2005,12,-0.5,52
2006,1,-1.5,10.6
2006,2,0.1,37.7
2006,3,3.8,132.3
2006,4,8.9,147.9
2006,5,13.3,106.6
2006,6,17.9,34.3
2006,7,22.5,15.8
2006,8,15.5,168.5
2006,9,16.8,67.5
2006,10,12.4,73.7
2006,11,6.2,31.8
2006,12,2,67.3
2007,1,4.3,41.9
2007,2,4.7,74.3
2007,3,5.4,75.7
2007,4,12.8,3
2007,5,14.2,139.4
2007,6,17.3,160.6
2007,7,17.8,163.5
2007,8,17.4,178.5
2007,9,13.2,43.6
2007,10,9.3,33.4
2007,11,2.9,24.7
2007,12,0.9,66.5
2008,1,2.6,54.2
2008,2,3.1,26.2
2008,3,4.9,44.5
2008,4,7.9,110.8
2008,5,14.5,64.9
2008,6,17.4,48.2
2008,7,18.6,100.7
2008,8,18,89.8
2008,9,12.4,117.5
2008,10,9.8,99.4
2008,11,4.6,19.7
2008,12,0.1,73.4
2009,1,-2.5,36.7
2009,2,0.1,36.1
2009,3,4.9,49.8
2009,4,11,21.8
2009,5,15.5,42
2009,6,16.9,74.2
2009,7,19,87.4
2009,8,20,62
2009,9,15.4,34.9
2009,10,9.4,31.7
2009,11,7,111.8
2009,12,1.3,124.3
2010,1,-1.5,27.1
2010,2,0.7,56
2010,3,4.5,36.2
2010,4,10,13.3
2010,5,12.2,69.4
2010,6,17,37.5
2010,7,20.8,21.1
2010,8,17.8,116.5
2010,9,13.4,22.6
2010,10,8.7,32.9
2010,11,5.3,77
2010,12,-0.9,83.9
2011,1,1.3,21.1
2011,2,2.5,18.3
2011,3,6.3,18.1
2011,4,11.9,16.5
2011,5,15.1,66.8
2011,6,16.7,71.7
2011,7,16.6,102.3
2011,8,19.3,47.8
2011,9,16.4,67.6
2011,10,9.7,44.7
2011,11,4.9,11.2
2011,12,3.8,95.1
2012,1,2.7,65
2012,2,-3.6,0.5
2012,3,7.4,19.8
2012,4,8.9,101.2
2012,5,13.9,57.3
2012,6,17.7,108.5
2012,7,18.6,95.7
2012,8,19.6,69
2012,9,14.3,108.4
2012,10,10.2,81.3
2012,11,6,170.8
2012,12,2.2,102.9
2013,1,0.7,37.2
2013,2,-0.9,46.9
2013,3,2.6,72.3
2013,4,9.2,91.5
2013,5,10.9,117.8
2013,6,16.2,53.9
2013,7,20.6,90.1
2013,8,18.6,69
2013,9,15,75.2
2013,10,11.5,136.6
2013,11,4.7,89.5
2013,12,0.5,77.3
2014,1,2.8,77.3
2014,2,3.6,95.3
2014,3,6.7,28.9
2014,4,10.7,63.8
2014,5,12.4,81.8
2014,6,17.7,42
2014,7,17.7,192.2
2014,8,17,90
2014,9,15.2,21.2
2014,10,12.4,139.6
2014,11,6.5,84.1
2014,12,3.5,24.5
2015,1,1.7,64.2
2015,2,0.1,32.6
2015,3,6.3,47.7
2015,4,9.8,65.2
2015,5,14.2,99.7
2015,6,18.5,72.2
2015,7,22.5,30.7
2015,8,19.8,73.7
2015,9,13.2,64
2015,10,9,42
2015,11,7.2,40.1
2015,12,2.8,11.2
2016,1,3.1,119.6
2016,2,4.1,71.4
2016,3,4.9,32.1
2016,4,8.9,118.9
2016,5,12.7,130.3
2016,6,16.8,129.4
2016,7,19.9,114.1
2016,8,19.3,50.1
2016,9,16.6,65.6
2016,10,8.4,83.7
2016,11,4.9,104.2
2016,12,-0.3,0.2
2017,1,-2.7,15
2017,2,4.2,54.1
2017,3,8.2,43.5
2017,4,9.1,40.8
2017,5,14.1,92.3
2017,6,19.8,61
2017,7,20,48.3
2017,8,19.8,61.8
2017,9,13.4,28.6
2017,10,11,19.4
2017,11,4.9,58
2017,12,1.6,126.7
2018,1,4.8,112.1
2018,2,-0.3,24.9
2018,3,3.9,76.3
2018,4,12.2,16.1
2018,5,14.9,83.3
